id,Gender,Age,HasDrivingLicense,RegionID,Switch,VehicleAge,PastAccident,AnnualPremium,SalesChannelID,DaysSinceCreated,Result
82198,Female,25.0,,27.0,1.0,< 1 Year,No,"£1,086.30 ",152,168,0
200020,Male,25.0,1.0,14.0,1.0,< 1 Year,No,"£1,320.40 ",26,183,0
5300,Female,36.0,1.0,14.0,,1-2 Year,Yes,"£1,031.85 ",124,169,0
72201,Male,23.0,1.0,32.0,,< 1 Year,No,"£1,423.60 ",152,62,0
331577,Female,,1.0,50.0,1.0,1-2 Year,,"£1,440.10 ",64,293,0
349694,Female,,1.0,46.0,0.0,1-2 Year,,"£1,063.00 ",124,11,0
184441,Female,49.0,1.0,46.0,,1-2 Year,,"£1,555.25 ",124,50,0
337802,Female,23.0,,6.0,,< 1 Year,No,"£1,773.40 ",152,99,0
247452,Male,24.0,1.0,28.0,,< 1 Year,,£131.50 ,152,18,0
124668,Male,37.0,1.0,28.0,,,Yes,"£1,193.65 ",26,281,0
75450,Male,20.0,1.0,2.0,0.0,< 1 Year,Yes,"£1,616.60 ",160,135,0
15673,Male,27.0,1.0,41.0,,< 1 Year,,£131.50 ,152,200,1
187521,Male,69.0,1.0,28.0,,1-2 Year,Yes,"£2,201.70 ",122,10,0
46270,Female,23.0,1.0,46.0,1.0,< 1 Year,No,"£1,713.75 ",160,292,0
156134,Male,51.0,1.0,28.0,1.0,1-2 Year,,"£1,495.15 ",26,220,0
367524,Female,75.0,1.0,28.0,0.0,1-2 Year,,"£2,191.15 ",26,111,0
308131,Male,45.0,1.0,41.0,,1-2 Year,,"£1,563.10 ",106,21,1
100319,,47.0,1.0,28.0,,1-2 Year,,"£2,428.65 ",124,271,0
372096,Male,22.0,1.0,28.0,,,Yes,"£2,136.15 ",152,126,0
334525,Male,62.0,1.0,8.0,0.0,> 2 Years,,£131.50 ,30,278,0
231817,Male,20.0,1.0,8.0,0.0,< 1 Year,Yes,"£2,552.25 ",160,279,0
68432,,21.0,1.0,50.0,,< 1 Year,No,"£2,405.25 ",152,210,0
167024,Female,58.0,1.0,28.0,,1-2 Year,,"£1,377.20 ",55,237,1
167574,Female,31.0,1.0,8.0,,< 1 Year,,"£2,527.30 ",152,91,0
24293,Female,22.0,1.0,28.0,1.0,< 1 Year,No,"£1,913.55 ",152,21,0
36713,Female,41.0,1.0,11.0,,1-2 Year,Yes,"£1,244.65 ",154,159,0
37274,Male,25.0,1.0,15.0,0.0,< 1 Year,,"£1,410.05 ",152,234,0
106655,Male,25.0,1.0,33.0,,< 1 Year,No,"£2,114.45 ",152,19,0
320589,Female,42.0,1.0,28.0,0.0,,No,"£2,176.05 ",26,33,0
196847,Male,62.0,1.0,,,> 2 Years,,"£1,277.95 ",45,203,0
130528,Female,22.0,1.0,46.0,1.0,< 1 Year,,"£1,218.65 ",152,112,0
110140,,24.0,1.0,41.0,,< 1 Year,,"£1,300.70 ",152,137,1
119846,Female,23.0,1.0,8.0,1.0,< 1 Year,,"£1,764.85 ",26,186,0
104564,Male,,1.0,1.0,0.0,1-2 Year,Yes,£131.50 ,124,92,0
247499,Male,,1.0,8.0,1.0,< 1 Year,,"£1,915.25 ",152,212,0
60907,Male,25.0,1.0,,1.0,< 1 Year,,"£2,227.90 ",152,125,0
361385,Female,38.0,1.0,4.0,,1-2 Year,,£131.50 ,124,189,0
349131,Female,20.0,1.0,15.0,1.0,< 1 Year,No,"£2,205.50 ",160,207,0
242245,Female,24.0,1.0,7.0,,,No,"£1,793.10 ",152,121,0
259687,Male,,,41.0,,< 1 Year,,"£1,510.15 ",152,203,0
144543,Male,33.0,1.0,8.0,,,Yes,"£2,331.70 ",154,280,0
274972,Female,29.0,,28.0,1.0,< 1 Year,,"£1,879.35 ",152,196,0
62987,Male,55.0,1.0,28.0,0.0,> 2 Years,,"£2,121.65 ",39,251,0
171191,Female,29.0,1.0,28.0,1.0,< 1 Year,No,"£1,550.95 ",152,240,0
217313,,38.0,1.0,26.0,,1-2 Year,Yes,"£2,033.95 ",122,104,0
93894,Female,23.0,1.0,,1.0,< 1 Year,No,"£1,718.15 ",152,248,0
205856,Male,69.0,1.0,37.0,,1-2 Year,No,"£1,639.55 ",26,24,0
12699,Male,41.0,,47.0,0.0,1-2 Year,,"£1,718.20 ",124,210,0
106199,Female,,1.0,10.0,0.0,< 1 Year,Yes,"£1,076.20 ",152,287,0
185998,Female,,1.0,,,> 2 Years,Yes,£131.50 ,124,276,0
39384,Female,45.0,1.0,12.0,0.0,1-2 Year,Yes,"£1,354.85 ",26,55,1
227679,Female,24.0,1.0,39.0,,< 1 Year,No,"£1,529.10 ",160,84,0
117502,Male,46.0,1.0,3.0,1.0,1-2 Year,,"£1,867.50 ",124,156,0
93751,Female,25.0,1.0,41.0,1.0,< 1 Year,,"£1,172.95 ",152,129,0
137388,Female,24.0,1.0,44.0,,< 1 Year,No,"£1,674.05 ",152,182,0
265164,Female,40.0,1.0,28.0,,1-2 Year,No,"£1,387.70 ",124,77,0
136252,Female,49.0,1.0,28.0,,1-2 Year,,"£1,491.35 ",29,253,0
90075,Female,22.0,1.0,15.0,1.0,,,"£2,096.05 ",152,192,0
237283,Male,69.0,1.0,8.0,,1-2 Year,No,"£2,417.30 ",26,244,0
340775,,22.0,1.0,16.0,,< 1 Year,No,"£1,482.85 ",152,189,0
7244,Male,57.0,1.0,28.0,,1-2 Year,Yes,"£1,642.85 ",26,132,0
380369,Male,42.0,1.0,28.0,0.0,> 2 Years,,"£2,658.05 ",124,72,0
79370,Female,23.0,1.0,8.0,,< 1 Year,,"£2,080.85 ",152,97,0
198709,,62.0,1.0,,,1-2 Year,,"£2,595.00 ",124,83,0
1850,Male,,1.0,13.0,1.0,1-2 Year,,"£1,477.90 ",26,34,0
90025,Female,27.0,1.0,,0.0,< 1 Year,Yes,"£3,585.55 ",152,148,0
211715,Male,39.0,1.0,,0.0,1-2 Year,,"£1,815.35 ",122,15,0
342921,Female,23.0,1.0,10.0,1.0,,No,"£1,993.30 ",151,280,0
95034,Female,21.0,1.0,15.0,1.0,,No,"£1,442.90 ",152,105,0
370892,Female,56.0,1.0,28.0,,1-2 Year,Yes,£131.50 ,124,112,0
257112,Male,33.0,1.0,3.0,,,Yes,"£1,280.00 ",124,241,1
95930,Male,22.0,1.0,26.0,,< 1 Year,,"£1,137.05 ",152,245,0
170163,Male,20.0,1.0,41.0,,< 1 Year,Yes,"£1,044.25 ",160,108,0
49477,Male,44.0,1.0,25.0,,1-2 Year,,"£1,790.00 ",26,110,0
354837,,22.0,1.0,8.0,1.0,< 1 Year,No,"£3,526.00 ",160,75,0
310424,Male,33.0,1.0,21.0,0.0,1-2 Year,Yes,"£1,212.55 ",26,148,0
57485,Female,40.0,1.0,26.0,,1-2 Year,,"£2,129.40 ",120,43,1
147422,Male,22.0,,15.0,1.0,< 1 Year,No,"£1,735.40 ",152,58,0
349445,Male,43.0,1.0,28.0,0.0,1-2 Year,,"£3,196.75 ",124,93,1
185802,Female,52.0,1.0,47.0,0.0,> 2 Years,Yes,"£1,266.85 ",16,281,0
325112,Female,23.0,1.0,8.0,,< 1 Year,No,"£1,763.15 ",152,277,0
251870,Female,25.0,1.0,27.0,0.0,< 1 Year,Yes,£131.50 ,152,28,0
168269,Male,47.0,1.0,35.0,0.0,1-2 Year,Yes,"£1,270.45 ",124,68,1
258392,Male,58.0,1.0,33.0,,1-2 Year,Yes,£131.50 ,26,213,0
307441,Female,27.0,1.0,6.0,,< 1 Year,,"£1,290.35 ",152,22,0
225405,,59.0,1.0,28.0,0.0,1-2 Year,Yes,£131.50 ,26,224,0
141809,,35.0,1.0,50.0,,1-2 Year,,"£1,549.30 ",124,25,1
114372,Female,,1.0,,1.0,< 1 Year,,"£1,455.05 ",152,291,0
271774,Male,61.0,1.0,4.0,,,Yes,£131.50 ,26,143,0
148335,Male,39.0,1.0,28.0,,1-2 Year,,"£2,226.55 ",124,215,0
74424,Male,39.0,,28.0,0.0,1-2 Year,Yes,"£1,892.20 ",124,221,1
164072,Female,,1.0,41.0,1.0,< 1 Year,No,"£1,670.15 ",152,204,0
63686,Female,43.0,1.0,,,1-2 Year,Yes,"£3,671.20 ",122,20,1
355800,Female,62.0,1.0,28.0,0.0,1-2 Year,,"£2,809.40 ",26,36,0
100712,Female,,,28.0,0.0,,,"£2,055.80 ",124,15,0
160541,Male,,,8.0,,1-2 Year,Yes,"£2,524.85 ",26,91,1
237280,Male,20.0,1.0,15.0,0.0,,,"£1,896.85 ",160,70,0
314846,Male,44.0,1.0,46.0,,1-2 Year,Yes,"£1,415.50 ",124,93,1
50198,Female,31.0,,33.0,0.0,< 1 Year,,"£2,434.85 ",124,222,0
148558,Male,25.0,1.0,28.0,1.0,< 1 Year,No,"£1,782.55 ",152,24,0
342995,Male,,1.0,13.0,,< 1 Year,,"£1,248.35 ",152,69,0
163640,Female,43.0,1.0,28.0,,1-2 Year,Yes,£131.50 ,26,269,0
321968,,,1.0,,1.0,1-2 Year,Yes,"£2,077.30 ",124,31,0
20269,Female,44.0,1.0,47.0,,1-2 Year,No,"£2,099.65 ",124,198,0
232720,Female,36.0,1.0,47.0,0.0,1-2 Year,Yes,"£1,618.35 ",124,193,0
214355,Male,25.0,1.0,3.0,1.0,,,"£1,082.95 ",152,96,0
19326,Female,45.0,1.0,28.0,0.0,> 2 Years,,"£1,909.55 ",26,275,1
84091,Male,54.0,1.0,28.0,,1-2 Year,,"£2,176.40 ",26,237,1
297957,Male,39.0,1.0,8.0,,1-2 Year,No,£131.50 ,157,84,0
82605,Male,20.0,1.0,24.0,0.0,,,£131.50 ,157,194,0
356754,Female,41.0,1.0,,0.0,1-2 Year,,"£2,243.80 ",26,76,0
177622,Female,32.0,1.0,,0.0,1-2 Year,,£131.50 ,156,290,1
124171,Female,26.0,1.0,28.0,1.0,< 1 Year,,"£1,853.95 ",152,161,0
305673,Female,26.0,1.0,36.0,1.0,< 1 Year,No,"£1,465.55 ",152,252,0
353577,Male,,1.0,38.0,,1-2 Year,,"£1,526.45 ",124,86,0
168810,Female,24.0,1.0,8.0,,< 1 Year,,"£2,190.85 ",152,168,0
272523,Male,27.0,,11.0,,< 1 Year,,"£1,289.20 ",152,299,0
234357,Male,59.0,1.0,8.0,,1-2 Year,,"£2,255.35 ",25,169,1
4930,Female,36.0,1.0,28.0,0.0,1-2 Year,No,"£3,826.80 ",124,192,0
132396,Female,62.0,,28.0,,1-2 Year,,"£1,962.30 ",26,20,1
15970,,38.0,1.0,50.0,0.0,1-2 Year,Yes,"£1,325.05 ",124,127,0
93358,Female,27.0,1.0,28.0,1.0,< 1 Year,,"£1,661.25 ",152,167,0
138934,Female,29.0,,30.0,,< 1 Year,Yes,£841.50 ,152,293,0
17124,,53.0,1.0,,,1-2 Year,No,"£1,365.65 ",26,233,0
77262,Female,21.0,1.0,,1.0,< 1 Year,,"£3,024.05 ",160,216,0
300255,Female,35.0,1.0,28.0,0.0,1-2 Year,Yes,"£1,676.95 ",154,214,1
42705,Male,48.0,1.0,8.0,0.0,1-2 Year,,"£1,747.95 ",124,132,0
129743,Female,49.0,1.0,19.0,,> 2 Years,,"£1,563.55 ",163,168,0
51985,Female,,1.0,36.0,,< 1 Year,No,"£1,580.85 ",152,271,0
101958,Male,50.0,1.0,15.0,1.0,1-2 Year,No,"£2,135.25 ",14,273,0
203787,Male,74.0,1.0,45.0,,> 2 Years,Yes,£131.50 ,122,69,0
112886,Male,29.0,,,1.0,< 1 Year,No,"£1,521.10 ",152,277,0
14078,Male,35.0,1.0,34.0,0.0,1-2 Year,,"£1,498.40 ",124,269,0
88923,Male,21.0,1.0,6.0,,< 1 Year,,"£1,083.55 ",160,243,0
349179,Male,57.0,1.0,28.0,,1-2 Year,Yes,"£1,914.65 ",139,125,0
205789,Male,36.0,1.0,8.0,,1-2 Year,,£131.50 ,156,140,0
73689,Female,48.0,1.0,,0.0,1-2 Year,,£131.50 ,26,294,1
30583,Female,27.0,1.0,8.0,1.0,,No,"£2,367.25 ",152,197,0
16425,Male,49.0,1.0,8.0,,1-2 Year,Yes,"£1,712.15 ",26,283,1
376805,,54.0,1.0,41.0,,,Yes,"£1,288.80 ",124,144,1
103199,Female,55.0,1.0,28.0,0.0,< 1 Year,No,£131.50 ,1,263,0
73344,Male,23.0,1.0,46.0,,< 1 Year,,£906.15 ,152,265,0
111297,Female,28.0,1.0,8.0,1.0,< 1 Year,No,"£1,867.00 ",152,171,0
70988,Female,44.0,1.0,28.0,0.0,1-2 Year,Yes,£131.50 ,158,96,1
24537,Male,50.0,,50.0,,1-2 Year,,"£1,937.65 ",8,17,0
293606,Female,23.0,1.0,16.0,0.0,< 1 Year,Yes,"£1,435.95 ",152,72,0
358714,Female,22.0,1.0,11.0,,< 1 Year,No,"£1,385.85 ",152,197,0
134553,Female,26.0,1.0,23.0,,< 1 Year,No,"£1,561.00 ",152,191,0
278123,Female,28.0,1.0,30.0,1.0,< 1 Year,,"£1,678.45 ",152,138,0
252694,Male,26.0,1.0,,,< 1 Year,,"£1,388.15 ",152,167,0
196907,Male,27.0,1.0,,1.0,< 1 Year,No,"£1,858.00 ",152,212,0
235743,Female,22.0,1.0,34.0,1.0,< 1 Year,No,"£1,705.50 ",152,274,0
345914,Male,65.0,1.0,28.0,0.0,1-2 Year,Yes,£131.50 ,122,159,0
248052,Female,80.0,1.0,28.0,0.0,1-2 Year,Yes,"£1,264.30 ",26,94,0
2481,Male,77.0,1.0,48.0,1.0,1-2 Year,No,£131.50 ,124,115,0
74968,Female,69.0,1.0,,0.0,1-2 Year,,"£1,677.30 ",124,192,1
204987,,20.0,1.0,,0.0,< 1 Year,Yes,"£1,794.80 ",160,25,0
189849,,,1.0,28.0,,1-2 Year,,"£2,263.35 ",124,186,0
201205,Female,39.0,1.0,41.0,,1-2 Year,Yes,"£1,504.55 ",26,214,0
121130,Female,51.0,1.0,15.0,,1-2 Year,Yes,"£2,107.30 ",124,165,0
25846,,55.0,1.0,,,1-2 Year,Yes,"£1,368.90 ",124,158,0
336410,Female,,1.0,37.0,,< 1 Year,Yes,"£1,403.10 ",152,251,0
303582,Male,44.0,1.0,8.0,0.0,1-2 Year,Yes,"£1,499.00 ",26,208,0
209575,Female,28.0,1.0,8.0,,< 1 Year,No,"£2,802.55 ",152,244,0
262657,,45.0,1.0,28.0,0.0,> 2 Years,Yes,"£1,946.35 ",26,137,0
10353,Male,65.0,1.0,3.0,,1-2 Year,,"£1,505.65 ",124,102,0
120967,Male,25.0,1.0,,0.0,< 1 Year,Yes,"£1,178.80 ",152,143,0
357206,,,1.0,6.0,,< 1 Year,,"£2,145.40 ",152,37,0
39138,Female,,1.0,33.0,,< 1 Year,No,"£1,368.65 ",152,253,0
109752,,23.0,1.0,27.0,0.0,< 1 Year,Yes,"£1,660.35 ",152,133,1
174223,Female,22.0,1.0,28.0,,< 1 Year,,£131.50 ,153,84,0
373448,Female,56.0,1.0,28.0,0.0,1-2 Year,,"£1,747.65 ",154,93,0
97882,Female,25.0,1.0,41.0,,< 1 Year,Yes,£978.20 ,152,255,0
284400,Male,35.0,1.0,8.0,0.0,1-2 Year,Yes,"£1,642.05 ",124,87,0
136551,Male,38.0,1.0,41.0,1.0,1-2 Year,,"£1,236.10 ",155,122,0
161261,Male,25.0,1.0,,1.0,< 1 Year,No,£755.55 ,152,286,0
39677,Male,26.0,1.0,15.0,1.0,< 1 Year,,"£2,039.50 ",160,298,0
59339,Female,21.0,1.0,30.0,,,Yes,"£1,672.30 ",152,295,0
189094,Male,65.0,1.0,28.0,,1-2 Year,,"£1,975.05 ",124,83,0
164751,Male,25.0,1.0,36.0,1.0,< 1 Year,,"£1,825.65 ",152,114,0
4126,Female,42.0,1.0,28.0,0.0,1-2 Year,Yes,"£3,146.10 ",124,299,1
65631,Female,29.0,1.0,46.0,1.0,< 1 Year,,"£1,354.95 ",152,55,0
172746,,46.0,1.0,11.0,,,,"£2,289.15 ",26,85,1
341210,Female,23.0,1.0,27.0,0.0,< 1 Year,Yes,"£1,254.75 ",151,90,0
294334,Male,32.0,1.0,46.0,,< 1 Year,No,"£1,743.20 ",152,18,0
39329,Female,21.0,1.0,,1.0,,,"£1,267.75 ",152,254,0
267872,Male,23.0,1.0,28.0,0.0,< 1 Year,Yes,"£2,221.15 ",160,158,1
110702,Male,21.0,1.0,47.0,1.0,< 1 Year,,£131.50 ,152,11,0
102295,Female,34.0,1.0,11.0,1.0,1-2 Year,,£131.50 ,157,79,0
62224,Male,80.0,1.0,,,1-2 Year,,"£2,363.45 ",122,93,0
201793,Male,27.0,1.0,8.0,1.0,< 1 Year,,"£1,224.60 ",152,251,0
148883,Male,79.0,1.0,28.0,1.0,1-2 Year,No,"£1,740.55 ",124,55,0
81708,Female,51.0,1.0,30.0,,1-2 Year,No,"£1,597.60 ",152,216,0
11443,Male,,1.0,37.0,1.0,,,"£1,650.10 ",152,54,0
278182,,32.0,1.0,41.0,0.0,< 1 Year,Yes,"£1,380.65 ",156,253,0
98907,Female,40.0,1.0,28.0,0.0,1-2 Year,,£131.50 ,26,171,1
243354,Male,69.0,1.0,28.0,0.0,1-2 Year,Yes,"£4,734.80 ",26,86,0
123780,Male,21.0,1.0,49.0,,< 1 Year,,£131.50 ,152,232,0
272054,Female,22.0,1.0,8.0,,< 1 Year,,"£2,448.30 ",152,252,0
333804,Female,29.0,1.0,28.0,,< 1 Year,,"£1,222.50 ",152,65,0
271734,Female,44.0,1.0,28.0,0.0,1-2 Year,,"£3,554.25 ",124,121,0
302469,Male,20.0,1.0,9.0,,< 1 Year,No,£131.50 ,160,284,0
4738,Male,34.0,1.0,,0.0,1-2 Year,,£131.50 ,156,29,0
290904,Male,69.0,,28.0,1.0,1-2 Year,,"£2,394.25 ",26,231,0
353982,Male,,1.0,11.0,1.0,< 1 Year,No,"£1,465.50 ",152,174,0
354495,Female,,1.0,7.0,0.0,1-2 Year,Yes,"£1,570.40 ",124,236,0
248056,Male,39.0,1.0,41.0,,1-2 Year,No,"£1,378.25 ",124,138,0
204106,Male,54.0,1.0,28.0,0.0,,Yes,"£2,804.45 ",122,74,0
122233,Male,41.0,1.0,28.0,,1-2 Year,,"£1,342.95 ",3,162,0
231540,,37.0,1.0,28.0,,1-2 Year,Yes,"£1,546.10 ",124,82,1
235979,Female,48.0,1.0,28.0,,1-2 Year,,"£2,428.75 ",122,37,0
120246,Female,24.0,1.0,8.0,0.0,< 1 Year,,"£1,270.00 ",152,206,0
142536,Male,45.0,1.0,41.0,0.0,1-2 Year,Yes,"£1,561.60 ",124,129,0
105954,Male,48.0,1.0,35.0,,> 2 Years,,"£1,382.10 ",10,210,1
124593,Male,56.0,1.0,,,1-2 Year,,£131.50 ,26,209,0
377885,Male,27.0,1.0,6.0,,< 1 Year,Yes,"£1,328.65 ",154,296,1
10565,Male,60.0,1.0,28.0,0.0,1-2 Year,,"£1,296.10 ",125,197,0
308647,Male,45.0,,,0.0,1-2 Year,,"£1,742.10 ",124,198,0
32231,Female,51.0,1.0,28.0,,,,"£2,002.40 ",26,124,0
9636,Female,22.0,1.0,15.0,1.0,< 1 Year,No,"£1,331.85 ",152,14,0
319701,,45.0,1.0,19.0,,1-2 Year,No,"£2,126.30 ",117,179,0
303403,Female,26.0,1.0,9.0,1.0,< 1 Year,,"£1,342.70 ",152,135,0
302556,Male,23.0,1.0,29.0,,< 1 Year,No,"£1,687.70 ",152,194,0
30121,,,1.0,36.0,1.0,< 1 Year,,"£1,623.95 ",152,44,0
293884,Male,,1.0,28.0,0.0,1-2 Year,,"£1,872.40 ",26,146,0
57069,Male,48.0,1.0,28.0,0.0,1-2 Year,,£131.50 ,26,36,0
187295,Female,24.0,1.0,41.0,,< 1 Year,No,"£1,331.00 ",152,78,0
86681,Male,26.0,1.0,28.0,,< 1 Year,Yes,"£2,741.35 ",26,147,1
43493,Male,49.0,1.0,28.0,0.0,1-2 Year,,£131.50 ,26,217,1
183419,Male,25.0,1.0,34.0,,< 1 Year,Yes,"£1,274.20 ",26,294,0
308655,Male,27.0,1.0,28.0,0.0,1-2 Year,,"£2,215.75 ",124,256,0
304622,,78.0,1.0,,,,,"£2,235.50 ",26,75,0
140235,Female,22.0,1.0,18.0,,< 1 Year,No,"£1,344.85 ",152,207,0
9130,Female,67.0,1.0,28.0,0.0,1-2 Year,,"£1,914.25 ",124,121,0
233936,Female,20.0,1.0,45.0,,< 1 Year,No,"£1,281.85 ",160,27,0
213804,Male,23.0,1.0,50.0,,< 1 Year,,"£1,620.10 ",151,231,0
32888,Female,46.0,1.0,28.0,,> 2 Years,,"£1,651.70 ",124,83,0
104170,Male,35.0,,3.0,,1-2 Year,,£131.50 ,124,166,1
358173,Male,,0.0,13.0,0.0,,,"£1,071.80 ",26,54,0
240199,Male,50.0,1.0,41.0,,1-2 Year,,"£1,582.35 ",124,156,1
309836,Female,67.0,1.0,28.0,,> 2 Years,,"£1,730.45 ",122,175,0
120841,Male,27.0,1.0,,1.0,,No,"£1,866.80 ",152,158,0
362546,Male,42.0,1.0,28.0,0.0,1-2 Year,Yes,"£2,082.75 ",124,292,0
350568,Male,23.0,1.0,35.0,1.0,,No,"£1,864.50 ",26,47,0
179455,Male,24.0,,30.0,,< 1 Year,No,£131.50 ,152,37,0
297095,Female,25.0,1.0,36.0,,< 1 Year,,"£1,683.20 ",152,117,0
79157,Male,67.0,1.0,28.0,,> 2 Years,Yes,"£2,510.55 ",124,133,0
307606,Female,42.0,1.0,3.0,,1-2 Year,,"£1,909.70 ",124,91,0
210048,Male,58.0,,28.0,,1-2 Year,,"£2,768.60 ",122,217,1
66826,Female,56.0,1.0,28.0,0.0,,Yes,"£2,330.00 ",55,202,1
251189,Female,75.0,1.0,37.0,0.0,1-2 Year,,£131.50 ,26,292,0
246462,Male,21.0,1.0,8.0,,< 1 Year,,"£1,642.85 ",160,57,0
309688,Male,76.0,1.0,15.0,1.0,1-2 Year,,"£1,862.25 ",124,145,0
355034,Female,52.0,1.0,37.0,1.0,1-2 Year,,"£1,276.30 ",124,263,0
238079,Female,26.0,1.0,14.0,1.0,< 1 Year,No,"£2,382.85 ",152,156,0
361798,Female,,1.0,11.0,0.0,1-2 Year,,"£1,602.85 ",120,46,0
88697,,53.0,1.0,21.0,1.0,1-2 Year,,£131.50 ,160,258,0
332838,Male,27.0,1.0,41.0,,< 1 Year,,"£1,721.70 ",152,162,0
289680,Female,24.0,1.0,50.0,,< 1 Year,,"£1,184.95 ",152,256,0
203457,Female,47.0,1.0,5.0,0.0,1-2 Year,Yes,£131.50 ,160,10,0
259130,Female,57.0,1.0,28.0,0.0,1-2 Year,,"£1,981.55 ",163,231,1
90846,Male,71.0,1.0,43.0,,1-2 Year,,"£1,900.35 ",26,26,0
314918,Female,24.0,1.0,10.0,,< 1 Year,No,£131.50 ,151,276,0
308743,Female,46.0,1.0,7.0,0.0,1-2 Year,No,£131.50 ,124,261,0
3827,Male,46.0,1.0,28.0,,1-2 Year,,"£2,255.75 ",26,182,0
241288,Female,44.0,1.0,24.0,0.0,1-2 Year,,"£1,390.65 ",124,269,0
273860,Male,26.0,1.0,44.0,1.0,< 1 Year,No,"£1,463.80 ",152,39,0
79398,Male,49.0,1.0,,,1-2 Year,Yes,£131.50 ,26,53,0
156898,Female,24.0,,45.0,,< 1 Year,,"£1,037.00 ",152,60,0
273175,Male,71.0,1.0,48.0,1.0,1-2 Year,,£131.50 ,124,18,0
144291,Male,33.0,1.0,28.0,0.0,< 1 Year,Yes,"£1,947.75 ",124,134,1
209794,Female,25.0,1.0,8.0,,< 1 Year,Yes,"£3,581.95 ",151,187,0
271446,,44.0,1.0,50.0,1.0,1-2 Year,No,"£1,830.80 ",25,18,0
89788,Female,41.0,1.0,37.0,,1-2 Year,,£131.50 ,152,188,0
283942,Female,24.0,1.0,29.0,,< 1 Year,No,"£2,061.85 ",152,102,0
45155,,57.0,1.0,8.0,1.0,1-2 Year,,"£1,841.10 ",124,117,0
46947,Male,34.0,1.0,28.0,0.0,1-2 Year,Yes,"£1,533.15 ",154,106,0
306226,Male,25.0,1.0,32.0,1.0,,No,"£1,497.70 ",152,69,0
153794,,48.0,1.0,,,1-2 Year,,"£1,864.95 ",124,34,0
275738,Male,22.0,1.0,29.0,,< 1 Year,Yes,£131.50 ,152,166,0
